               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086671,            0.021289,            0.085018,             0.80567,            0.052778,            0.031872,            0.012478,            0.056211,            0.013345,            0.077742,            0.070455,           0.0032828,           0.0032828
                   1,            0.054723,            0.017551,            0.072325,             0.79801,             0.10339,             0.10323,            0.054253,            0.044331,           0.0079907,            0.071892,            0.040127,           0.0062887,           0.0062887
                   2,            0.051081,            0.011959,             0.06617,             0.69681,             0.20125,             0.13734,            0.069696,             0.04778,           0.0065601,            0.065781,           0.0094695,           0.0089645,           0.0089645
                   3,              0.0462,            0.010067,            0.059686,             0.67651,             0.23811,             0.23923,             0.12504,            0.042531,           0.0066113,            0.058777,            0.008515,            0.008515,            0.008515
                   4,            0.043119,           0.0096393,            0.053941,             0.65482,             0.41303,             0.35887,             0.20927,            0.037685,           0.0059387,            0.051004,            0.008515,            0.008515,            0.008515
                   5,            0.040769,           0.0093374,            0.046816,              0.7632,             0.33497,             0.39947,             0.20855,            0.041279,            0.005874,            0.040718,             0.00802,             0.00802,             0.00802
                   6,            0.039736,           0.0092443,            0.042312,             0.67916,             0.47006,               0.495,             0.25176,            0.043609,           0.0057776,             0.03655,            0.007525,            0.007525,            0.007525
                   7,             0.03852,           0.0088568,            0.038073,             0.69741,             0.43657,             0.52421,             0.30772,            0.035239,           0.0057739,            0.034003,             0.00703,             0.00703,             0.00703
                   8,            0.037065,           0.0087028,            0.034537,             0.64988,             0.49883,             0.48344,             0.29705,            0.035413,            0.005968,            0.030734,            0.006535,            0.006535,            0.006535
                   9,            0.036573,           0.0086832,            0.032797,             0.67585,             0.48029,             0.50669,               0.287,            0.035653,           0.0055273,             0.03059,             0.00604,             0.00604,             0.00604
                  10,            0.035865,           0.0086036,            0.031304,             0.71507,             0.51599,             0.53588,             0.31902,             0.03595,           0.0052454,            0.027263,            0.005545,            0.005545,            0.005545
                  11,            0.035275,            0.008406,            0.028514,             0.73387,             0.52463,             0.54725,             0.36493,            0.030738,           0.0055249,            0.028987,             0.00505,             0.00505,             0.00505
                  12,            0.034419,           0.0082034,            0.026554,             0.57516,             0.54977,             0.54007,             0.34785,            0.033623,           0.0056812,            0.029083,            0.004555,            0.004555,            0.004555
                  13,            0.033559,           0.0082771,             0.02531,             0.75725,              0.5171,             0.60536,             0.40885,            0.027899,           0.0052234,            0.024949,             0.00406,             0.00406,             0.00406
                  14,            0.032924,           0.0082279,              0.0244,             0.67255,             0.61242,             0.59121,             0.37669,            0.030075,            0.005166,            0.023123,            0.003565,            0.003565,            0.003565
                  15,            0.031956,           0.0079031,             0.02238,             0.70966,             0.61392,             0.59811,             0.40646,            0.029578,           0.0053003,            0.024084,             0.00307,             0.00307,             0.00307
                  16,            0.031479,           0.0077788,            0.021623,             0.64773,             0.60396,             0.61323,             0.40258,            0.027233,           0.0053369,            0.023452,            0.002575,            0.002575,            0.002575
                  17,            0.030156,           0.0076085,            0.020376,             0.72796,             0.57743,             0.59038,             0.39976,            0.027801,           0.0051416,            0.022759,             0.00208,             0.00208,             0.00208
                  18,            0.029738,           0.0076002,            0.018442,             0.71396,             0.62877,             0.63148,             0.42186,             0.02638,           0.0050757,            0.021071,            0.001585,            0.001585,            0.001585
                  19,            0.028649,           0.0075807,            0.018473,             0.74686,             0.57578,             0.62194,             0.43369,            0.026077,            0.005083,            0.020656,             0.00109,             0.00109,             0.00109
